obs_id,iata,constraint_type,value,unit,rate_basis,declared_no_limit,config,season,validity_from,validity_to,basis,source_title,source_url,source_locator,source_date,retrieved_date,language,machine_readable,grade,confidence,entered_by,entered_date,checked_by,checked_date,superseded_by,notes
FR-CDG-01,CDG,composite_design_annual,81,pax_per_yr_m,,false,,permanent,,,operator_statement,Groupe ADP 2027-2034 Economic Regulation Agreement proposal,https://www.parisaeroport.fr/,p28,2026,2026-08-03,en,true,B,B,S Parry,2026-08-03,,,,Terminal design capacity. COHOR Level 3; coordination parameters published and not yet transcribed.
FR-CDG-02,CDG,runway,,mvts_per_hr,declared_with_delay_tolerance,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Paris Charles de Gaulle coordination parameters,https://www.cohor.org/en/airports/aeroport-de-paris-charles-de-gaulle-cdg-lfpg/,S26 Parameters,2026,2026-08-03,en,false,A,,,,,,,Published as images; pending transcription.
FR-ORY-01,ORY,composite_design_annual,34,pax_per_yr_m,,false,,permanent,,,operator_statement,Groupe ADP 2027-2034 Economic Regulation Agreement proposal,https://www.parisaeroport.fr/,p30,2026,2026-08-03,en,true,B,B,S Parry,2026-08-03,,,,Terminal figure. Not the binding constraint at Orly.
FR-ORY-02,ORY,runway,,mvts_per_hr,declared_with_delay_tolerance,false,ordinary,S26,2026-03-29,2026-10-24,regulator_decree,COHOR Paris Orly coordination parameters (decree of 29 September 2022 modifying the decree of 19 October 1999),https://www.cohor.org/en/airports/paris-orly-airport-ory-lfpo/,S26 Parameters,2022-09-29,2026-08-03,en,false,A,,,,,,,"Set per 10-minute period and per rolling hour, not as a single hourly rate. Pending transcription."
FR-ORY-03,ORY,terminal,,,,true,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Paris Orly coordination parameters,https://www.cohor.org/en/airports/paris-orly-airport-ory-lfpo/,S26 Parameters,2026,2026-08-03,en,true,A,B,Avia,2026-08-03,,,,Terminal constraint alert suspended for S26 and W26.
FR-ORY-04,ORY,regulatory_annual_cap,,mvts_per_yr,,false,,permanent,,,regulator_decree,Decree of 6 October 1994 relating to slots at Orly airport,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000185505,,1994-10-06,2026-08-03,fr,true,A,,,,,,,Cap fixed in law. Figure deliberately not entered: to be read from Legifrance and not assumed.
FR-ORY-05,ORY,curfew,,hours_per_day,,false,,permanent,,,regulator_decree,Decree of 4 April 1968 about night operations at Paris Orly,https://www.cohor.org/en/airports/paris-orly-airport-ory-lfpo/,,1968-04-04,2026-08-03,fr,true,A,B,Avia,2026-08-03,,,,"Night curfew. Compresses the peak, so it raises the peak hour share; captured through the schedule panel."
FR-BVA-01,BVA,composite_design_annual,5.6,pax_per_yr_m,,false,,permanent,,,operator_statement,Egis publication on Paris Beauvais,https://www.egis-group.com/,footnote (1),2023,2026-08-03,en,true,B,C,S Parry,2026-08-03,,,,"5.6m stated for 2023 against 6.5m actual in 2024 per the Societe Generale project note, so already superseded by events. Expansion to 8m by 2029."
FR-NTE-01,NTE,runway,,mvts_per_hr,declared_with_delay_tolerance,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nantes Atlantique coordination parameters,https://www.cohor.org/en/airports/nantes-atlantique-airport-nte-lfrs/,S26 Parameters,2026,2026-08-03,en,false,A,,,,,,,"Pending transcription. Runway expansion blocked on environmental and proximity grounds, so a real constraint exists but is unquantified. The 7.1m in the France test set is the 2025 actual and is not an observation."
FR-NCE-01,NCE,terminal,,,,true,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nice Cote d'Azur coordination parameters,https://www.cohor.org/en/airports/nice-cote-dazur-airport-nce-lfmn/,S26 Parameters,2026,2026-08-03,en,true,A,B,Avia,2026-08-03,,,,"Terminal capacity: No limitation, for both S26 and W26."
