obs_id,iata,constraint_type,value,unit,rate_basis,declared_no_limit,config,season,validity_from,validity_to,basis,source_title,source_url,source_locator,source_date,retrieved_date,language,machine_readable,grade,confidence,entered_by,entered_date,checked_by,checked_date,superseded_by,notes
FR-NTE-10,NTE,terminal,1600,pax_per_hr,,false,departures,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nantes Atlantique coordination parameters,https://www.cohor.org/en/airports/nantes-atlantique-airport-nte-lfrs/,"S26 Parameters, Departures",2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: '1600 passengers per rolling 60 minutes with a step of 10 minutes'. COHOR states it applies an average load factor of 85% to seat capacity when testing this. Derived from a capacity study using passenger presentation curves."
FR-NTE-11,NTE,terminal,675,pax_per_hr,,false,"departures, per rolling 20 min",S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nantes Atlantique coordination parameters,https://www.cohor.org/en/airports/nantes-atlantique-airport-nte-lfrs/,"S26 Parameters, Departures",2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: '675 passengers per rolling 20 minutes with a step of 10 minutes'. UNIT IS PER 20 MINUTES, not per hour. Recorded for completeness; the 60-minute figure is the one the engine should use."
FR-NTE-12,NTE,terminal,1800,pax_per_hr,,false,departures,W26,2026-10-25,2027-03-27,coordinator_declaration,COHOR Nantes Atlantique coordination parameters,https://www.cohor.org/en/airports/nantes-atlantique-airport-nte-lfrs/,"W26 Parameters, Departures",2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: '1800 passengers per rolling 60 minutes with a step of 10 minutes'. Winter is HIGHER than summer, which is unusual and worth a second look before use."
FR-NTE-13,NTE,stand,23,stands,,false,category C1,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nantes Atlantique coordination parameters,https://www.cohor.org/en/airports/nantes-atlantique-airport-nte-lfrs/,"S26 Parameters, Parking stands capacity",2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'COHOR allocates slots in the limit of 23 parking stands'. Falls by aircraft size: 23 (C1), 21 (C2), 18 (C3), 13 (C4), 3 for D1/D2/E1/E2 combined. A category F aircraft uses 9 stands."
FR-NTE-14,NTE,curfew,6,hours_per_day,,false,,permanent,,,regulator_decree,Decree of 28 September 2021 restricting operations at Nantes-Atlantique,https://www.cohor.org/wp-content/uploads/2023/08/NTE-Arrete-du-28-septembre-2021-portant-restriction-dexploitation-de-laerodrome-de-Nantes-Atlantique-Loire-Atlantique.pdf,,2021-09-28,2026-08-03,fr,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'COHOR does not allocate any slot from 00h00 to 5h59 local time'. Six hours closed, both seasons."
FR-LYS-10,LYS,terminal,,,,true,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Lyon Saint-Exupery coordination parameters,https://www.cohor.org/en/airports/lyon-saint-exupery-lys-lfll/,S26 Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'Terminal Constraints : None'. Same for W26. The terminal is not the binding constraint at Lyon; the runway is."
FR-CDG-10,CDG,curfew,,hours_per_day,,false,,permanent,,,regulator_decree,Decrees of 6 November 2003 limiting night flights at Paris Charles de Gaulle,https://www.cohor.org/wp-content/uploads/2023/07/CDG-Order_2003_11_06_EN.pdf,,2003-11-06,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Night restriction rather than a full curfew: arrivals limited 00:30-05:29 block local, departures 00:00-04:59. Quota system, not a closure, so hours_per_day is left blank deliberately. Consolidated version 5 May 2019."
FR-CDG-11,CDG,terminal,,pax_per_hr,,false,per terminal,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Paris Charles de Gaulle coordination parameters,https://www.cohor.org/wp-content/uploads/2025/10/CDG-S26-Terminal-Flow.png,S26 Terminal Flow image,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"A real declared terminal constraint exists at CDG: 'Limit of the departure passenger flow per hour and per terminal'. Published as an image, pending transcription. NOTE: COHOR describes these as a warning to carriers rather than a hard allocation limit."
FR-CDG-12,CDG,runway,,mvts_per_hr,declared_with_delay_tolerance,false,,S26,2026-03-29,2026-10-24,regulator_decree,COHOR Paris Charles de Gaulle coordination parameters (decree of 29 September 2022),https://www.cohor.org/wp-content/uploads/2025/10/CDG-S26-Runway-Capacity.png,S26 Runway Capacity image,2022-09-29,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"Expressed as N(M): at most N slots over M ten-minute periods, N-1 in the other 6-M periods. Pending transcription. Coordinator also withholds 2 departure and 3 arrival slots per night hour until 3 days out."
FR-ORY-10,ORY,runway,,mvts_per_hr,declared_with_delay_tolerance,false,ordinary,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Paris Orly coordination parameters,https://www.cohor.org/wp-content/uploads/2025/10/ORY-ORDINARY-RUNWAY.png,S26 ordinary runway image,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"Pending transcription. W26 equivalent at ORY-RUNWAY-1024x318.png. Orly also publishes three temporary parameter sets for works periods in S26 and two in W26; those are operational rather than structural and are deliberately not recorded here."
FR-ORY-11,ORY,regulatory_annual_cap,,mvts_per_yr,,false,,permanent,,,regulator_decree,Decree of 6 October 1994 on slot allocation at Orly,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000185505,,1994-10-06,2026-08-03,fr,true,A,,Claude harvest 2026-08-03,2026-08-03,,,,"VALUE DELIBERATELY BLANK. Orly carries an annual movement cap fixed in law and it is the binding constraint at the airport. The figure must be read from the decree, not from recall. This is the single highest-value outstanding item in the France set."
