iata,first_year,last_year,annual_mvts,peak_hour_mvts,annual_growth,peak_growth,absorption,peak_hour_share,state,note
AAE,2015,2018,6795,5.0,0.1647,0.8929,5.42,0.000783,not_assessed,"below the screen floor, peak too small to read a trend"
AAL,2015,2019,13894,6.0,-0.0694,-0.1444,2.081,0.000466,not_assessed,"below the screen floor, peak too small to read a trend"
AAN,2017,2017,962,2.0,nan,nan,nan,0.002198,too_short,"one observed year, no trend to read"
AAQ,2015,2019,11733,6.2,0.2955,-0.1515,-0.513,0.000555,not_assessed,"below the screen floor, peak too small to read a trend"
AAR,2015,2019,7648,4.5,0.1168,0.6735,5.765,0.000834,not_assessed,"below the screen floor, peak too small to read a trend"
AAT,2015,2019,7246,5.1,1.0195,0.2619,0.257,0.000783,not_assessed,"below the screen floor, peak too small to read a trend"
ABA,2015,2019,2329,3.0,0.2734,0.5,1.829,0.0013,not_assessed,"below the screen floor, peak too small to read a trend"
ABB,2015,2018,1765,2.9,-0.3035,-0.3142,1.035,0.00138,not_assessed,"below the screen floor, peak too small to read a trend"
ABD,2015,2019,4663,5.0,0.3461,0.25,0.722,0.001124,not_assessed,"below the screen floor, peak too small to read a trend"
ABE,2015,2019,13080,7.3,0.1768,1.4424,8.159,0.000623,not_assessed,"below the screen floor, peak too small to read a trend"
ABI,2015,2019,4544,2.4,-0.1016,0.1101,-1.084,0.000529,not_assessed,"below the screen floor, peak too small to read a trend"
ABJ,2015,2018,24438,15.2,0.3502,0.7542,2.154,0.000475,headroom,peak growing broadly in step with annual traffic
ABL,2015,2019,2018,3.0,0.004,-0.0046,nan,0.001491,not_assessed,"below the screen floor, peak too small to read a trend"
ABQ,2015,2019,56198,15.5,0.0428,-0.0157,-0.367,0.000299,tightening,"growth going into the shoulder hours, not the peak"
ABR,2015,2019,1500,1.2,0.0108,-0.4087,nan,0.000828,not_assessed,"below the screen floor, peak too small to read a trend"
ABS,2015,2017,644,1.3,0.5261,0.2669,0.507,0.002004,not_assessed,"below the screen floor, peak too small to read a trend"
ABT,2015,2019,3934,2.8,0.2434,-0.2009,-0.825,0.000728,not_assessed,"below the screen floor, peak too small to read a trend"
