iata,name,country,size_m_pax_2025,screen_state,listed
AAE,Annaba,DZ,0.55,not_assessed,True
AAL,Aalborg,DK,1.62,not_assessed,True
AAN,Al Ain,AE,,too_short,True
AAP,,,,too_short,False
AAQ,,,,not_assessed,False
AAR,Aarhus,DK,0.51,not_assessed,True
AAT,,CN,,not_assessed,False
ABA,Abakan,RU,0.37,not_assessed,True
ABB,,NG,,not_assessed,False
ABD,Abadan,IR,0.31,not_assessed,True
ABE,Allentown/Bethlehem/Easton,US,0.9,not_assessed,True
ABI,Abilene,US,0.21,not_assessed,True
ABJ,Abidjan,CI,3.08,headroom,True
ABL,,US,,not_assessed,False
ABM,Bamaga,AU,0.03,too_short,True
ABQ,Albuquerque,US,5.81,tightening,True
ABR,,US,,not_assessed,False
ABS,Abu Simbel,EG,,not_assessed,True
ABT,Al Baha,SA,0.5,not_assessed,True
ABU,,,,not_assessed,False
ABV,Abuja,NG,5.22,headroom,True
ABX,Albury,AU,0.26,not_assessed,True
ABY,Albany,US,0.12,not_assessed,True
ABZ,Aberdeen,GB,2.26,headroom,True
ACA,Acapulco,MX,0.68,not_assessed,True
ACC,Accra,GH,4.24,tightening,True
ACE,Lanzarote,ES,7.98,headroom,True
ACF,,,,too_short,False
ACH,Altenrhein,CH,,not_assessed,True
ACI,Alderney,GB,0.07,not_assessed,True
ACK,,US,,headroom,False
ACO,,,,too_short,False
ACT,,US,,not_assessed,False
ACU,,,,not_assessed,False
ACV,,US,,not_assessed,False
ACX,Xingyi,CN,1.72,not_assessed,True
ACY,Atlantic City,US,0.79,not_assessed,True
ADA,Adana,TR,,headroom,True
ADB,Izmir,TR,11.69,headroom,True
ADD,Addis Ababa,ET,21.36,headroom,True
ADE,,YE,,not_assessed,False
ADF,Adiyaman,TR,0.36,not_assessed,True
ADL,Adelaide,AU,8.81,headroom,True
ADQ,,US,,not_assessed,False
ADU,Ardabil,IR,0.19,not_assessed,True
ADZ,San Andres Island,CO,2.46,not_assessed,True
AEB,,CN,,not_assessed,False
AEG,,,,not_assessed,False
AEP,Buenos Aires,AR,17.85,headroom,True
AER,Sochi,RU,9.67,headroom,True
AES,Alesund,NO,1.09,not_assessed,True
AET,,US,,not_assessed,False
AEX,Alexandria,US,0.24,not_assessed,True
AEY,Akureyri,IS,0.22,not_assessed,True
AFA,San Rafael,AR,,not_assessed,True
AFL,Alta Floresta,BR,,not_assessed,True
AGA,Agadir,MA,3.32,headroom,True
AGH,Angelholm/Helsingborg,SE,0.18,not_assessed,True
AGN,,US,,not_assessed,False
AGP,Malaga,ES,24.48,tightening,True
AGR,AGR,,0.23,too_short,True
AGS,Augusta,US,0.64,not_assessed,True
AGT,Ciudad del Este,PY,,not_assessed,True
AGU,Aguascalientes,MX,0.93,not_assessed,True
AGX,Agatti Island,IN,0.14,not_assessed,True
AHB,Abha,SA,4.96,tightening,True
AHO,Alghero,IT,1.78,not_assessed,True
AHU,Al Hoceima,MA,0.13,not_assessed,True
AIA,,US,,not_assessed,False
AIN,,US,,not_assessed,False
AIP,AIP,,0.1,not_assessed,True
