iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
PHX,429508.999999998,214759.00000000064,214749.99999999977,64056071.00000033,32029336.9999998,32026734.000000034,60536231.00000023,30268952.999999896,30267278.000000145,3519840.000000036,1760384.0000000047,1759455.9999999937,119.30107279272798,66.81878121878123,76.36551632118699,17533.627976190477,9705.426701463677,11174.195170515759,16032.217801806039,9492.795435954991,9545.712055983235,1741.961590122697,1190.1710648617682,1458.9561360208427,365
DFW,724068.9999999955,362030.99999999953,362037.99999999936,102407117.99999958,51203230.00000031,51203888.0000001,86681423.00000069,43341141.99999972,43340280.99999996,15725695.000000237,7862088.000000022,7863606.999999973,190.3422873531697,109.3497918384062,112.83188863424158,25641.470320730128,14983.968973101719,14956.386898787487,21744.72622373528,12529.084619935838,12803.15973183679,5440.837681019307,3532.503352005886,4204.996174413778,365
MIA,379554.0000000027,189754.99999999997,189798.99999999919,65451132.00000041,32721539.99999982,32729591.999999788,34888401.9999999,17444391.00000003,17444010.99999996,30562730.000000052,15277148.999999981,15285581.000000294,96.81712366601272,50.27138607481379,59.127944047950216,16569.77366453583,8658.850867520316,9695.2125,10178.726680228807,5393.761904761905,5787.505952380954,10697.338496076276,6918.8465961811235,7633.686584395996,365
SZX,417099.9999999994,208543.99999999945,208555.9999999997,79334897.00000006,39657010.99999981,39677886.00000007,71105822.00000012,35540372.00000023,35565450.000000075,8229074.999999989,4116639.0000000065,4112435.9999999693,74.7783189033189,44.86600066600066,49.1970473970474,14557.047466422468,8586.610076035076,9211.588364413365,13459.353402153401,8223.506536519037,8749.321737984237,2154.15472860473,1676.0323232323226,1435.0396825396829,365
JED,283148.0000000026,141193.00000000055,141954.99999999936,62056211.000000015,30900942.99999998,31155267.99999996,20220599.999999948,10126459.000000032,10094141.000000048,41835610.99999977,20774483.99999997,21061127.000000037,50.304042638527804,30.095290449252577,30.43557853910795,12050.157586008761,7290.461023515606,7887.745325867378,3892.1214352314346,2437.484830855419,2337.962483642151,9478.095942893622,5488.563178324943,6900.352414905357,365
MNL,296574.9999999989,148297.9999999992,148276.9999999993,63886324.00000017,31942715.00000002,31943608.999999925,33527805.99999991,16762153.000000047,16765652.999999976,30358517.999999914,15180562.000000052,15177955.999999927,46.18138805638806,25.668194305694307,30.522041847041848,10620.049267399267,6001.189343989344,6414.699533799534,6719.7038073038075,3844.700327450327,4302.346794871794,6939.790939615941,4106.099017649018,4266.397668997668,365
HKG,311426.9999999997,155762.99999999974,155663.99999999977,76682480.0000002,38321815.99999978,38360664.00000005,0.0,0.0,0.0,76682480.0000002,38321815.99999978,38360664.00000005,61.039596514596504,34.68859473859474,39.2290626040626,14819.997935397932,8668.28303085803,10153.778310578311,0.0,0.0,0.0,14819.997935397932,8668.28303085803,10153.778310578311,365
ICN,366262.00000000093,183175.99999999942,183086.00000000035,85295448.00000033,42655974.999999784,42639472.99999993,0.0,0.0,0.0,85295448.00000033,42655974.999999784,42639472.99999993,69.85091852591853,44.076887001886995,48.75287490287491,17412.242855755358,12370.557864357863,12056.178083028084,0.0,0.0,0.0,17412.242855755358,12370.557864357863,12056.178083028084,365
KUL,389808.0000000001,194896.00000000047,194911.99999999942,77929448.00000012,38960214.99999994,38969232.99999996,21100935.999999974,10548687.000000006,10552248.999999993,56828512.00000015,28411528.000000056,28416983.999999978,80.99468586968587,44.0642205017205,53.825072150072145,15919.147820235321,8809.117793317793,10950.6193001443,5219.697852147852,3089.6238927738927,3256.7531302031307,11277.093903318904,6527.584915084915,8307.550233100232,365
CGK,393952.0000000005,196452.99999999997,197498.99999999936,73728877.00000015,36766724.99999987,36962152.00000002,52225541.000000164,26021681.999999996,26203858.9999998,21503335.999999948,10745043.000000061,10758292.999999942,85.5057609057609,50.14150432900433,47.81987734487734,16198.835431235431,9376.609149184149,8848.219737207237,12185.018248418248,7306.252014652015,7026.861771561771,4645.50838050838,3036.9666666666662,2784.6247863247863,365
