iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
HND,481212.9999999998,240455.000000001,240757.99999999933,110492888.99999985,55168528.00000013,55324361.00000022,81937656.99999987,40889467.99999992,41048189.000000045,28555232.00000003,14279060.000000034,14276171.999999972,102.99607614607615,52.911679986679985,59.084956709956714,23730.166092241096,13347.933985458985,13659.987246087248,19603.616355866357,11022.16260961261,13024.953058053057,7010.369687257187,4586.202564102564,4753.860722610722,365
LAS,415146.0000000027,207532.99999999933,207613.00000000015,68607103.99999966,34301397.99999969,34305705.99999999,64411562.00000009,32202886.999999862,32208674.999999855,4195542.0,2098511.000000002,2097030.9999999867,116.20356354501098,60.12771079072333,65.77477111124169,18824.29865890566,10066.778249239782,10864.22586687822,17771.22366486455,9864.611582573116,10643.461160995867,2063.6231295586135,1401.3115052964267,1661.8096818214472,365
SIN,354017.99999999825,176999.00000000058,177019.00000000058,84850123.0,42421556.00000009,42428566.99999985,0.0,0.0,0.0,84850123.0,42421556.00000009,42428566.99999985,64.30119047619048,35.96609779109779,36.563189588189594,15490.653174603176,9377.181862581863,9067.407142857142,0.0,0.0,0.0,15490.653174603176,9377.181862581863,9067.407142857142,365
JFK,432357.9999999979,216168.99999999892,216189.00000000017,77115699.00000016,38558089.0000003,38557609.99999976,33376069.999999803,16685686.999999983,16690383.000000054,43739629.000000104,21872402.00000005,21867227.00000014,93.3027956629351,53.29417536711654,55.89166666666668,16835.4551038504,10111.58177163753,9451.686968848146,9571.833589351825,4454.595685359628,5503.409312060488,10889.618657330502,6710.255561276834,6298.7684272461165,365
MAD,391901.9999999991,195970.0000000011,195932.0000000012,76788946.99999984,38393379.00000012,38395567.99999988,19112142.999999937,9553208.999999942,9558933.999999985,57676804.00000038,28840170.00000017,28836634.000000127,91.03946818890599,53.498807940425586,62.99188371114758,19093.459889652015,11551.715938538586,12614.111210532314,6342.878571428571,4471.445833333334,4605.43186429445,15479.61677262835,8644.67151442206,8673.400399616723,365
BCN,339033.99999999965,169503.9999999995,169529.99999999895,66252995.00000005,33124704.999999873,33128290.00000009,16437057.000000121,8219029.000000072,8218027.999999982,49815938.00000014,24905675.999999948,24910261.999999773,74.97599884127399,40.68153762750613,44.00491090608737,15168.70499774735,7792.1886257533315,8723.254661459783,4761.026824307145,2855.438694283088,3170.915071266141,13236.372871050518,6507.777951786776,7530.624328307281,365
SEA,416290.0000000013,208142.99999999852,208146.99999999878,62341075.99999986,31170621.00000008,31170454.99999973,53711569.00000024,26855964.000000153,26855604.999999966,8629506.999999994,4314656.999999992,4314849.999999947,108.52804674353916,65.4485099379807,64.81331570037503,17214.920134636606,10260.39806727464,10099.291654923985,16535.702184199254,9717.906526557295,8999.724519858746,3394.8001472383826,2123.8401615837784,2062.043284493285,365
DOH,252349.00000000183,126212.00000000074,126136.99999999904,65225337.000000104,32629834.000000007,32595502.999999993,0.0,0.0,0.0,65225337.000000104,32629834.000000007,32595502.999999993,64.50951362363128,61.238842437908104,64.00746592025581,18596.126477073314,18260.519639466478,18187.19846514005,0.0,0.0,0.0,18596.126477073314,18260.519639466478,18187.19846514005,365
BKK,349482.0000000001,174898.00000000035,174583.99999999945,76657353.00000024,38359369.00000008,38297984.00000004,14205956.000000037,7118748.999999973,7087206.999999996,62451396.999999866,31240619.999999966,31210776.99999996,69.52007437007437,39.30306499056499,37.643242868242865,14978.515096015095,8436.542904317905,8610.893315018313,3746.114041514041,2395.7111111111108,3343.4714285714285,12637.015096015095,7723.282639582639,7026.6695387945365,365
FCO,310577.0000000024,155237.99999999945,155339.00000000108,60384174.00000011,30182619.00000006,30201554.999999896,12964553.999999993,6483294.0000000205,6481259.999999998,47419619.999999896,23699324.999999925,23720295.000000037,79.88353332941568,55.00123818378023,54.928861670781956,15597.203563887095,9903.020217213458,10443.767046479552,4296.117874219392,3575.2657512391133,3705.829137781889,12922.661949801299,7361.966308128944,7305.86206795012,365
HKG,311426.9999999997,155762.99999999974,155663.9999999998,76682480.0000002,38321815.99999978,38360664.00000006,0.0,0.0,0.0,76682480.0000002,38321815.99999978,38360664.00000006,67.13333333333334,36.577505827505824,41.66517926517926,16450.239146964144,9406.502380952381,10933.591189366189,0.0,0.0,0.0,16450.239146964144,9406.502380952381,10933.591189366189,365
CGK,393952.0000000005,196452.99999999997,197498.99999999936,73728877.00000015,36766724.99999987,36962152.00000002,52225541.000000164,26021681.999999996,26203858.9999998,21503335.999999955,10745043.000000061,10758292.999999942,91.91222943722943,53.94674769674769,49.76724664224664,17562.295923520927,10131.618240093241,9466.64671994672,13291.667207792209,7823.580594405595,7466.232905982906,4934.564235764236,3320.6277555777547,3169.7857808857807,365
