iso2,gdp_pc_ppp,trips_per_capita,curve_fit_tpc
NG,8705,0.029,0.111
MA,9895,0.354,0.131
IN,10323,0.107,0.139
ZA,15200,0.243,0.229
ID,15416,0.247,0.233
EG,18525,0.176,0.296
BR,21176,0.39,0.353
TH,23519,0.701,0.404
CN,25179,0.371,0.442
MX,25243,0.508,0.443
GR,42711,2.846,0.879
TR,42786,0.751,0.881
PL,48473,0.642,1.036
PT,49353,2.537,1.06
JP,50662,1.043,1.097
ES,55682,2.627,1.24
GB,59911,1.638,1.364
IT,60030,1.56,1.368
FR,60839,1.002,1.392
HK,71512,2.29,1.717
SA,71565,1.272,1.719
DE,71684,0.773,1.723
AU,72273,2.061,1.741
AE,77955,2.921,1.921
NL,81729,1.054,2.043
US,82305,1.574,2.062
CH,95142,2.055,2.489
NO,103638,2.914,2.782
IE,129683,3.223,3.724
SG,143786,3.362,4.259
