iata,stars
AUH,4
ABV,2
ACC,3
ADD,2
AMD,3
AKU,2
ALG,3
ALA,3
AMM,4
AMS,4
ESB,4
AYT,3
TNR,2
KMJ,4
ATH,3
ATL,3
AKL,4
AUS,3
BAH,5
AEB,2
GYD,5
BWI,3
BLR,4
DMK,3
BKK,3
BAV,3
BCN,4
BHY,3
PEK,3
PKX,4
BEY,3
BFS,3
CNF,3
BEG,3
BER,4
BFJ,3
BIO,4
YTZ,4
BLL,4
BHX,3
BHH,4
FRU,2
BOG,4
BLQ,3
BOD,3
BOS,3
BSB,3
BRE,4
BGI,3
BNE,4
BRS,3
BWN,3
BRU,3
OTP,3
BUD,4
EZE,3
AEP,3
PUS,3
CNS,3
CAI,3
YYC,3
CLO,3
CCJ,3
CXR,3
CUN,3
CPT,4
CCS,2
CMN,3
CTA,3
HPH,3
GCM,3
CGQ,3
CSX,4
CZX,3
CLT,3
CTU,4
TFU,5
MAA,2
CNX,3
MDW,3
ORD,3
CIF,3
UBN,4
KIV,3
CGP,2
JUH,2
CHC,4
CKG,3
NGO,5
CVG,4
CLE,3
COK,3
CGN,4
CMB,3
CPH,4
CUZ,2
DLU,3
DLC,3
DFW,3
DAL,3
DMM,3
DAM,2
DAD,3
DAR,3
DAT,3
LUM,3
DEL,3
DPS,3
DEN,3
DTW,3
DAC,2
DOH,5
DXB,3
DUB,4
DUR,4
DUS,4
EDI,3
YEG,3
EIN,3
SAL,3
ENH,2
EBB,2
EXT,3
FAO,3
FLL,3
FRA,4
FUK,5
FOC,3
GBE,3
KOW,3
GVA,3
GLA,3
GOI,3
OOL,3
GOT,4
LPA,3
GDL,3
CAN,4
GUA,3
GYE,4
KWL,3
KWE,3
GAU,3
HAK,5
YHZ,4
HAM,4
HGH,3
HAN,3
HRB,3
HAV,2
HFE,3
HEL,4
HER,2
SGN,3
HET,3
HKG,5
HNL,3
IAH,4
HOU,5
HIA,2
TXN,3
HUZ,2
HLD,3
HRG,3
HYD,3
IBZ,3
IND,4
INV,3
ISB,3
IST,5
SAW,3
ADB,4
JAI,3
CGK,4
JED,4
CJU,3
SWA,3
TNA,3
JNG,2
JHB,3
JNB,3
SNA,3
KIX,4
MCI,3
KHI,2
KHG,2
KTW,3
KZN,4
KEF,3
YLW,3
KBP,3
KGL,3
CCU,3
SVX,4
KRL,3
BKI,3
KRK,3
KUL,3
KNO,4
KCH,3
KMG,3
KUF,4
KWI,3
LOS,2
LHE,2
LGK,3
LHW,3
LCA,3
LAS,3
LBA,3
LXA,2
LYG,2
LJG,2
LIM,3
LYI,2
LIS,3
LZH,3
LCY,3
LGW,3
LHR,4
LTN,3
STN,3
LAX,3
MSY,3
LAD,2
LKO,3
LYA,2
LUX,4
LYS,4
MFM,3
CEB,3
FNC,3
MED,4
MAD,4
AGP,3
MLE,3
MLA,4
MAN,3
MDL,3
MNL,3
NZH,4
RAK,3
MRS,3
FDF,3
MRU,4
MDE,3
MEL,3
MEX,3
MIA,3
MIG,3
LIN,3
MXP,4
MSP,3
MSQ,3
KMI,4
MBJ,3
MTY,3
YUL,4
DME,3
SVO,3
VKO,3
MDG,2
BOM,4
MUC,5
MCT,4
NAN,3
NBO,3
KHN,3
NAO,3
NKG,3
NNG,3
NTG,3
NNY,2
NAP,3
BNA,3
NAS,3
JFK,3
LGA,4
EWR,3
NCE,3
NGB,3
NOU,3
ORF,4
OVB,3
NQZ,3
OAK,3
OKA,4
OLB,3
DSN,4
MCO,3
ITM,4
OSL,4
YOW,4
PLM,4
PMO,3
PMI,3
PTY,3
PPT,3
PFO,3
CDG,4
ORY,4
PAT,2
PKU,4
PEN,3
PER,4
PHL,3
PHX,3
PQC,3
HKT,3
PIT,3
ROV,4
PTP,3
PLZ,3
POM,3
VLI,2
PDX,4
OPO,4
PRG,3
PNQ,3
PUJ,3
TAO,3
JJN,2
ZQN,3
UIO,5
RDU,3
RUN,3
RHO,3
RIX,3
GIG,3
RUH,4
FCO,5
SMF,3
LED,3
SLL,5
SLC,3
SAT,3
SAN,3
SFO,3
SJC,3
SJO,3
SJU,3
SCL,3
SYX,4
CGH,3
GRU,3
SEA,4
GMP,4
ICN,5
SVQ,3
SEZ,3
SHA,5
PVG,3
SHE,3
SZX,5
SJW,2
WDS,3
SIN,5
AER,4
SOF,3
STL,3
ARN,3
STR,4
WUX,3
SUB,3
SYD,4
TPE,4
HYN,2
TLL,3
TPA,3
TAS,2
TBS,4
IKA,3
TLV,3
TFS,3
TCZ,3
TSN,3
HND,5
NRT,5
TOF,3
TGO,2
TEN,2
YYZ,4
TLS,3
TSF,3
TUN,2
UFA,4
URC,3
VLC,3
YVR,4
VCE,3
VIE,4
VNO,3
VVO,3
WAW,3
IAD,3
DCA,3
WEH,2
WNZ,3
WDH,3
YWG,4
WUH,4
XIY,4
XMN,3
XFN,2
ACX,3
XNN,2
JHG,2
XUZ,3
YNZ,3
RGN,3
YTY,3
YNJ,2
YNT,3
YBP,3
YIH,4
INC,3
YIN,2
YIW,3
UYN,2
YCU,3
UUS,2
ZAG,3
DYG,4
ZHA,2
CGO,3
HSN,3
ZUH,3
WMT,3
ZYI,2
ZRH,4
